RECID	HHOLDID	NOJOUR	I1	I2	I3	I4	I5	I6	I7	I8	I9	I10	I11	I12	I13	I14	I15	I16	I17	I18	I19	I20	I21	I22	I23	I24	I25	I27	I28	I30	I31	I32	I33	I34	I35
3	4259	14	3	1	3	4	2	7	19	14	14	4	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	7	8	5	4	8
3	4259	10	4	1	3	4	2	7	19	14	13	4	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	15	14	14	14	15
3	4259	0	5	3	3	4	2	7	19	14	12	4	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	15	14	14	14	15
3	4259	10	6	1	3	4	2	7	19	14	11	4	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	6	6	4	1	6
3	4259	4	7	1	3	4	2	7	19	14	8	3	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	3	3	2	1	4
3	4260	27	1	1	1	1	2	1	5	8	27	12	2	2	2	1	2	8	4	9	13	2	1	1	5	1	7	8	7	8	10	12	7	1	3
3	4260	26	2	1	1	3	2	1	5	7	27	12	2	1	2	1	1	8	4	9	13	2	1	1	5	1	3	4	2	2	9	11	7	2	6
3	4261	18	1	1	1	1	2	1	6	6	27	12	2	1	1	1	1	10	2	9	13	7	1	2	3	2	3	2	1	8	15	14	14	14	15
3	4262	0	1	1	1	1	1	4	18	10	32	14	2	1	1	1	1	10	1	3	4	7	2	9	14	9	8	8	8	8	1	1	1	1	1
3	4262	28	2	1	1	3	2	1	6	8	28	7	1	2	2	2	2	8	4	9	13	1	1	2	5	2	7	8	2	1	10	12	7	3	6
3	4263	11	1	1	1	1	1	1	9	7	27	7	1	2	2	1	2	8	4	9	13	2	1	3	5	3	2	3	1	8	6	8	7	8	3
3	4263	1	2	1	1	2	1	1	6	5	26	11	2	1	1	1	1	10	2	9	13	7	1	3	5	3	2	2	1	8	2	2	2	2	3
3	4264	21	1	1	1	1	1	1	13	7	24	6	1	2	2	2	2	8	4	9	13	1	1	2	3	2	2	4	4	2	9	10	10	1	9
3	4264	16	2	1	1	2	1	4	18	1	22	11	2	1	1	1	1	10	2	9	13	7	1	1	3	1	3	2	7	8	7	9	9	1	9
3	4264	0	3	4	3	4	2	7	19	14	2	1	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	15	14	14	14	15
3	4265	0	1	3	1	1	1	1	12	11	27	7	1	2	2	2	2	8	4	9	13	1	1	2	5	2	7	8	7	8	15	14	14	14	15
3	4265	20	2	1	1	2	1	1	7	5	27	12	2	1	2	1	2	8	4	9	13	2	1	2	5	2	3	4	7	8	8	10	8	1	4
3	4266	19	1	1	1	1	2	1	2	3	19	10	2	1	3	1	1	1	4	9	13	4	1	3	5	3	2	4	7	8	8	10	9	8	4
3	4266	0	2	3	1	3	2	1	1	13	21	6	1	2	2	2	2	6	4	9	13	1	1	3	5	3	7	8	2	2	15	14	14	14	15
3	4267	4	1	1	1	1	2	1	9	8	27	7	1	1	2	2	2	8	4	9	13	1	1	2	5	2	2	2	1	8	1	1	1	1	1
3	4268	0	1	3	1	1	1	1	12	10	28	7	1	2	2	2	2	8	4	9	13	1	1	1	3	1	7	8	7	8	15	14	14	14	15
3	4268	0	2	3	1	2	1	1	7	1	27	12	2	1	2	1	1	6	4	9	13	2	1	1	3	1	3	2	7	8	15	14	14	14	15
3	4269	28	1	1	1	1	1	1	10	5	30	8	1	2	2	2	2	8	4	9	13	1	1	3	3	3	7	8	7	8	9	11	8	1	4
3	4269	14	2	1	1	2	1	4	18	1	29	12	2	1	1	1	1	10	2	9	13	7	1	3	3	3	3	3	2	2	5	5	5	1	1
3	4270	14	1	1	1	1	1	1	9	7	28	7	1	2	1	1	1	10	2	9	13	7	1	3	5	3	3	4	1	8	6	7	2	1	3
3	4270	18	2	1	1	2	1	2	11	1	28	12	2	1	1	1	1	10	2	9	13	7	1	3	5	3	3	2	1	8	7	9	3	1	4
3	4270	22	3	1	3	4	2	7	19	14	15	4	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	8	10	7	7	4
3	4271	12	1	1	1	1	2	1	6	4	29	12	2	1	1	1	1	10	2	9	13	7	1	4	7	4	2	2	7	8	6	7	4	6	7
3	4271	8	2	1	1	3	1	1	6	3	26	11	2	2	1	1	1	10	2	9	13	7	1	3	5	3	2	2	2	1	4	4	2	2	1
3	4271	10	3	1	1	3	1	1	11	6	26	6	1	2	2	1	2	2	4	9	13	2	1	3	5	3	2	2	2	1	6	6	3	1	6
3	4272	14	1	1	1	1	2	1	6	7	28	12	2	1	2	1	2	8	4	9	13	2	1	2	3	2	7	8	1	8	7	8	12	10	9
3	4272	0	2	3	2	3	2	6	18	13	29	12	2	2	5	5	5	9	3	8	12	8	3	8	13	8	7	7	7	7	15	14	14	14	15
3	4273	0	1	3	1	1	1	1	12	6	27	7	1	2	2	1	2	8	4	9	13	2	1	1	3	1	2	4	7	8	15	14	14	14	15
3	4273	0	2	3	1	2	1	1	6	5	27	12	2	1	2	1	2	8	4	9	13	2	1	1	3	1	7	8	2	2	15	14	14	14	15
3	4273	0	3	3	3	4	2	7	19	14	14	4	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	15	14	14	14	15
3	4274	12	1	1	1	1	1	1	9	3	28	7	1	1	2	1	1	8	4	9	13	2	1	1	7	1	3	2	2	3	6	7	11	1	1
3	4275	4	1	1	1	1	1	4	18	2	23	11	2	1	1	1	1	10	2	9	13	7	1	1	3	1	7	8	7	8	3	3	2	2	1
3	4275	0	2	1	3	4	2	7	19	14	4	2	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	1	1	1	1	1
3	4275	0	3	1	3	4	2	7	19	14	3	2	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	1	1	1	1	1
3	4275	0	4	4	3	4	2	7	19	14	1	1	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	15	14	14	14	15
3	4276	36	1	1	1	1	2	5	9	2	20	5	1	1	2	2	1	6	4	9	13	1	1	3	7	3	2	1	2	2	11	13	12	1	11
3	4277	6	1	1	1	1	1	5	5	5	30	8	1	2	1	1	1	10	2	9	13	7	1	3	13	3	5	8	1	8	4	4	3	2	1
3	4277	8	2	1	1	2	1	2	5	3	30	13	2	1	1	1	1	10	2	9	13	7	1	3	13	3	5	8	3	3	5	5	4	3	3
3	4277	16	3	1	1	3	2	1	9	3	18	5	1	2	2	1	1	3	4	9	13	2	1	3	13	3	5	8	2	1	7	9	5	1	5
3	4278	0	1	1	1	1	2	3	5	6	31	14	2	1	2	1	1	8	4	9	13	2	1	3	13	3	2	2	1	8	1	1	1	1	1
3	4279	10	1	1	1	1	1	5	11	6	23	6	1	2	2	1	1	4	4	9	13	2	1	3	10	3	2	2	7	8	4	4	4	5	1
3	4279	10	2	1	1	2	1	1	6	3	25	11	2	1	1	1	1	10	2	9	13	7	1	3	10	3	7	8	7	8	6	7	9	9	8
3	4280	6	1	1	1	1	2	1	10	4	29	7	1	1	1	1	1	10	1	2	3	7	1	1	6	1	2	2	2	2	3	3	3	1	1
3	4281	6	1	1	1	1	2	4	18	2	29	12	2	1	1	1	1	10	2	9	13	7	1	3	8	3	3	2	2	2	1	1	1	1	1
3	4281	2	2	1	3	4	2	7	19	14	6	3	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	1	1	1	1	1
