RECID	HHOLDID	NOVEH	NOIND	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H17	H18	H19	H20	H21	H22	H23	H24	H25	H26	H27	H28	H29	H30	H31	H32	H33	H34	H35	H36
1	5629	1	2	6	2	10	2	10	3	1	3	3	3	2	1	1	2	1	8	4	3	2	5	1	3	15	13	7	13	8	1	2	3	7	9	9	3	10
1	5630	1	2	7	5	10	2	10	3	1	3	3	3	2	1	1	2	1	8	4	3	2	4	5	1	9	4	5	7	4	1	2	3	8	10	8	1	9
1	5631	0	5	2	25	10	2	10	3	1	4	3	3	1	1	1	1	3	3	1	7	2	11	3	1	9	5	2	5	2	3	1	3	7	9	7	1	7
1	5632	1	2	2	25	10	2	10	3	1	3	3	3	2	1	1	2	1	8	4	3	2	5	1	3	15	3	8	3	2	1	2	3	10	12	5	1	3
1	5633	0	4	6	15	9	6	9	4	2	4	2	2	1	1	1	1	2	8	4	7	6	8	5	6	18	13	2	13	8	3	1	4	15	14	14	14	15
1	5634	0	1	2	4	10	6	9	4	1	4	3	3	1	1	1	1	1	8	4	8	1	2	1	3	1	2	8	2	3	1	2	4	7	8	5	1	6
1	5635	0	1	1	13	10	6	9	4	1	4	3	3	1	1	1	1	1	3	1	8	1	1	3	1	9	3	5	3	4	1	2	4	7	9	10	5	12
1	5636	0	2	1	18	9	8	3	4	1	4	3	3	1	1	1	1	1	2	1	8	1	4	3	1	9	4	5	4	3	1	2	4	6	8	4	8	6
1	5637	1	5	5	25	10	8	3	4	1	3	3	3	2	1	1	2	2	8	4	3	2	11	3	1	10	7	3	7	2	3	1	4	14	13	11	3	9
1	5638	0	2	5	5	10	7	8	2	1	4	3	3	1	1	1	1	1	8	4	8	2	5	1	3	6	2	8	3	2	1	2	2	3	3	6	6	11
1	5639	0	3	6	2	10	7	8	2	1	4	3	3	1	1	1	1	1	2	1	8	2	6	6	1	10	5	3	8	4	2	1	2	9	11	8	6	8
1	5640	1	3	6	2	10	7	8	2	1	3	3	3	2	1	1	2	1	8	4	3	2	7	6	1	9	5	6	9	4	1	2	2	11	13	7	5	10
1	5641	1	1	3	4	9	7	8	2	1	3	3	3	1	2	1	2	1	8	4	3	1	1	3	1	5	7	2	7	6	1	2	2	6	7	12	13	15
1	5642	1	1	3	4	9	7	8	2	1	3	3	3	2	1	1	2	1	8	4	3	2	1	3	1	5	7	2	7	6	1	2	2	8	10	11	1	15
1	5643	1	1	3	4	9	7	8	2	1	3	3	3	2	1	1	2	1	8	4	3	2	1	3	1	1	5	2	5	5	1	2	2	15	14	14	14	15
1	5644	0	1	4	8	10	7	8	2	1	4	3	3	1	1	1	1	1	2	1	8	1	1	3	1	5	10	5	10	7	1	2	2	8	10	8	2	5
