RECID	HHOLDID	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54
2	106	1	2	1	2	1	3	8	2	1	9	1	1	2	2	3	1	2	1	1	2	1	1	6	17	17	7	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	6	4	2	8	1	4	1	8	5	9	7	6
2	108	1	2	1	2	1	4	12	1	1	6	1	2	4	14	9	9	11	9	1	2	1	3	9	17	17	9	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	9	5	2	3	1	4	1	8	5	12	9	9
2	109	1	2	1	2	1	1	9	4	1	12	1	1	2	3	3	1	2	1	1	2	1	1	8	17	17	9	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	2	13	1	3	1	4	1	8	5	13	9	5
2	111	1	1	3	2	1	3	10	8	3	16	1	1	3	3	3	1	2	2	1	2	1	1	9	7	7	11	1	9	1	2	2	1	1	1	2	1	2	2	22	8	8	1	6	7	2	3	1	4	1	8	4	9	11	6
2	111	2	2	1	2	1	3	8	2	4	9	1	2	4	14	9	9	11	9	1	2	1	2	8	17	17	10	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	6	2	2	8	1	4	2	8	5	9	9	5
2	113	1	4	9	10	5	8	14	15	5	18	2	3	3	13	8	8	10	8	7	5	8	6	16	16	16	14	14	8	5	3	3	3	3	3	3	3	3	3	21	7	7	6	18	13	8	11	3	3	16	9	6	14	14	15
2	113	2	2	1	2	1	1	8	4	5	1	1	1	2	2	3	1	2	1	8	6	9	1	7	17	17	9	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	4	18	2	2	8	1	4	2	8	5	14	14	15
2	114	1	2	1	2	1	1	11	2	1	9	1	1	2	3	3	1	2	1	1	2	1	1	11	3	10	12	1	9	1	1	2	2	2	2	2	2	2	2	2	1	8	1	4	10	1	3	1	4	1	8	2	14	14	15
2	121	1	4	9	10	5	8	14	15	5	18	2	3	3	13	8	8	10	8	7	5	8	6	16	16	16	14	14	8	5	3	3	3	3	3	3	3	3	3	21	7	7	6	18	13	8	11	3	3	16	9	6	1	1	1
2	124	1	3	2	9	1	9	1	16	6	19	1	4	4	14	9	9	11	9	1	2	1	2	4	17	17	2	1	9	1	1	2	2	2	2	2	2	2	2	1	1	8	1	5	7	8	2	1	4	3	10	2	2	2	3
