"","recid","hholdid","i1_person_id","j1_journey_num","j2_land_use_origin","j3_area_type_origin","j4_land_use_dest","j5_area_type_dest","j6_plan_region_origin","j7_plan_region_dest","j8_purpose","j9_purpose_to","j10_purpose_from","j11_main_transport","j12_shortwalk","j13_num_stages_excl_shortwalk","j14_length_excl_shortwalk","j15_mi_exc_shortwalk","j16_freq_journey","j17_day_of_week","j18_day_of_recording_period","j19_journey_duration","j20_mins","j21_time_start","j22_time_end","j24_wait_time","j25_pct_time_wait","j26_length_inc_shortwalk","j27_mi_inc_shortwalk","j28_num_stages_inc_shortwalk","j30_why_not_vehicle","j31_mean_overall_speed"
"415",4,5171,4,1,"DNA",6,"DNA",6,13,13,"Social","DNA","DNA","Other stage bus",FALSE,2,"1 to 1.9 miles",1,"DNA",2,2,"DNA",0,NA,NA,14,13,"1 to 1.9 miles",1,1,8,9
"416",4,5171,4,2,"DNA",6,"DNA",6,13,13,"Social","DNA","DNA","Other stage bus",FALSE,2,"1 to 1.9 miles",1,"DNA",2,2,"DNA",0,NA,NA,14,13,"1 to 1.9 miles",1,1,8,9
"417",4,5171,4,1,"DNA",6,"DNA",6,13,13,"Day-trip","DNA","DNA","Walk",FALSE,2,"1 to 1.9 miles",1,"DNA",3,3,"DNA",0,NA,NA,14,13,"1 to 1.9 miles",1,1,8,9
"418",4,5171,4,2,"DNA",6,"DNA",6,13,13,"Day-trip","DNA","DNA","Walk",FALSE,2,"1 to 1.9 miles",1,"DNA",3,3,"DNA",0,NA,NA,14,13,"1 to 1.9 miles",1,1,8,9
"419",4,5171,4,1,"DNA",6,"DNA",6,13,13,"Day-trip","DNA","DNA","Walk",FALSE,2,"1 to 1.9 miles",1,"DNA",4,4,"DNA",0,NA,NA,14,13,"1 to 1.9 miles",1,1,8,9
"420",4,5171,4,2,"DNA",6,"DNA",6,13,13,"Day-trip","DNA","DNA","Walk",FALSE,2,"1 to 1.9 miles",1,"DNA",4,4,"DNA",0,NA,NA,14,13,"1 to 1.9 miles",1,1,8,9
"421",4,5717,1,1,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Other stage bus",FALSE,3,"5 to 9.9 miles",5,"DNA",2,1,"DNA",0,NA,NA,14,13,"5 to 9.9 miles",5,2,8,9
"422",4,5717,1,2,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Other stage bus",FALSE,2,"5 to 9.9 miles",5,"DNA",2,1,"DNA",0,NA,NA,14,13,"5 to 9.9 miles",5,1,8,9
"423",4,5717,1,1,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Other stage bus",FALSE,2,"5 to 9.9 miles",5,"DNA",3,2,"DNA",0,NA,NA,14,13,"5 to 9.9 miles",5,1,8,9
"424",4,5717,1,2,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Other stage bus",FALSE,2,"5 to 9.9 miles",5,"DNA",3,2,"DNA",0,NA,NA,14,13,"5 to 9.9 miles",5,1,8,9
"425",4,5717,1,1,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Other stage bus",FALSE,2,"5 to 9.9 miles",5,"DNA",4,3,"DNA",0,NA,NA,14,13,"5 to 9.9 miles",5,1,8,9
"426",4,5717,1,2,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Other stage bus",FALSE,2,"5 to 9.9 miles",5,"DNA",4,3,"DNA",0,NA,NA,14,13,"5 to 9.9 miles",5,1,8,9
"427",4,5717,1,1,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Other stage bus",FALSE,3,"5 to 9.9 miles",5,"DNA",5,4,"DNA",0,NA,NA,14,13,"5 to 9.9 miles",5,2,8,9
"428",4,5717,1,2,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Other stage bus",FALSE,2,"5 to 9.9 miles",5,"DNA",5,4,"DNA",0,NA,NA,14,13,"5 to 9.9 miles",5,1,8,9
"429",4,5717,1,1,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Other stage bus",FALSE,3,"5 to 9.9 miles",5,"DNA",6,5,"DNA",0,NA,NA,14,13,"5 to 9.9 miles",5,2,8,9
"430",4,5717,1,2,"DNA",6,"DNA",6,13,13,"To/ from work","DNA","DNA","Other stage bus",FALSE,2,"5 to 9.9 miles",5,"DNA",6,5,"DNA",0,NA,NA,14,13,"5 to 9.9 miles",5,1,8,9
"431",4,5717,1,1,"Home base",4,"Industry + public utility",4,9,9,"To/ from work","Work","Home","Private car/van/1orry",FALSE,2,"5 to 9.9 miles",5,"5+ times a week",1,7,"15 to 29 mins",20,"0700 - 0714","0730 - 0744",1,1,"5 to 9.9 miles",5,1,8,3
"432",4,5717,1,2,"Industry + public utility",4,"Home base",4,9,9,"To/ from work","Home","Work","Private car/van/1orry",FALSE,2,"5 to 9.9 miles",5,"5+ times a week",1,7,"15 to 29 mins",20,"1630 - 1644","1645 - 1659",1,1,"5 to 9.9 miles",5,1,8,3
"433",4,5717,1,3,"Home base",4,"0pen epace - natural",4,9,9,"Day-trip","Day-trip","Home","Walk",TRUE,1,"DNA",0,"5+ times a week",1,7,"Under 15 mins",12,"1930 - 1959","1930 - 1959",1,1,"Under 1 mile",0.8,1,8,1
"434",4,5717,1,4,"0pen epace - natural",4,"Home base",4,9,9,"Day-trip","Home","Day-trip","Walk",TRUE,1,"DNA",0,"5+ times a week",1,7,"Under 15 mins",12,"1930 - 1959","1930 - 1959",1,1,"Under 1 mile",0.8,1,8,1
"435",4,5717,2,1,"Home base",4,"Temp residence",4,9,9,"Social","Social","Home","Walk",TRUE,1,"DNA",0,NA,1,7,"Under 15 mins",3,"2000 - 2029","2000 - 2029",1,1,"Under 1 mile",0.1,1,8,1
"436",4,5717,2,2,"Temp residence",4,"Home base",4,9,9,"Social","Home","Social","Walk",TRUE,1,"DNA",0,NA,1,7,"Under 15 mins",3,"2100 - 2129","2100 - 2129",1,1,"Under 1 mile",0.1,1,8,1
"437",4,6113,1,1,"DNA",6,"DNA",6,13,13,"Social","DNA","DNA","Private car/van/1orry",FALSE,2,"10 to 14.9 miles",10,"DNA",5,1,"DNA",0,NA,NA,14,13,"10 to 14.9 miles",10,1,8,9
"438",4,6113,1,2,"DNA",6,"DNA",6,13,13,"Social","DNA","DNA","Private car/van/1orry",FALSE,2,"10 to 14.9 miles",10,"DNA",5,1,"DNA",0,NA,NA,14,13,"10 to 14.9 miles",10,1,8,9
"439",4,6113,1,1,"DNA",6,"DNA",6,13,13,"Shopping","DNA","DNA","Other stage bus",FALSE,2,"1 to 1.9 miles",1,"DNA",6,2,"DNA",0,NA,NA,14,13,"1 to 1.9 miles",1,1,8,9
"440",4,6113,1,2,"DNA",6,"DNA",6,13,13,"Shopping","DNA","DNA","Other stage bus",FALSE,2,"1 to 1.9 miles",1,"DNA",6,2,"DNA",0,NA,NA,14,13,"1 to 1.9 miles",1,1,8,9
